,Unnamed: 0.1,Unnamed: 0,reviews,new_reviews,Positive,Negative,Neutral,Compound,Sentiment
476,476,476,"
Good for class 10 to 12 students
",good class 10 12 student,0.42,0.0,0.58,0.4404,0
477,477,477,"
I don't like the Quality of the Product, and it's been more than 2 weeks I have raise return request no one's turned up till today... 😶
",do not like quality product 2 week raise return request one turn till today,0.0,0.15,0.85,-0.2755,1
478,478,478,"
good
",good,1.0,0.0,0.0,0.4404,0
479,479,479,"
It has quite good space and light weight good for traveling, laptopbag and every uses
",quite good space light weight good travel laptopbag every use,0.444,0.0,0.556,0.7496,0
480,480,480,"
Good product.Good quality material is been used in this product also the stripes are very strong for carrying heavy load.
",good productgood quality material use product also stripe strong carry heavy load,0.383,0.0,0.617,0.7351,0
481,481,481,"
There is no rain cover , but original with price tag
",rain cover original price tag,0.365,0.0,0.635,0.3182,0
482,482,482,"
The bag quality is very good and product is valuable in this price.The delivery product very fast from amazon.
",bag quality good product valuable pricethe delivery product fast amazon,0.524,0.0,0.476,0.7717,0
483,483,483,"
Very good package and product received  thank you for seller
",good package product receive thank seller,0.574,0.0,0.426,0.6597,0
484,484,484,"
Quite light, spacious, stylish and looks good.Amazing stuff...go for it.""mehenga hase baar baar, sasta roye baar baar""
",quite light spacious stylish look goodamaze stuffgo itmehenga hase baar baar sasta roye baar baar,0.0,0.0,1.0,0.0,0
485,485,485,"
not worth for the price, go for wildcraft or skybags
",worth price go wildcraft skybag,0.322,0.0,0.678,0.2263,0
486,486,486,"
Please don’t buy this product. The quality of this bag is really poor and by seeing it one time itself we can spot that this bag is a second quality one. Don’t waste your money by seeing the pictures.
",please do not buy product quality bag really poor see one time spot bag second quality one do not waste money see picture,0.165,0.121,0.714,0.0616,0
487,487,487,"
Good product at the price point, does the duty as mentioned. Good job.
",good product price point duty mention good job,0.492,0.0,0.508,0.7003,0
488,488,488,"
I just buy it before 3 months and now I jst wash it once and the bag material started coming out the worst experience with the product
",buy 3 month jst wash bag material start come bad experience product,0.0,0.259,0.741,-0.5423,1
489,489,489,"
Go for it. Good product.
",go good product,0.592,0.0,0.408,0.4404,0
490,490,490,"
Awesome
",awesome,1.0,0.0,0.0,0.6249,0
491,491,491,"
My old backpack wildcraft is not good but American toriuster super bag....
",old backpack wildcraft good american toriuster super bag,0.531,0.0,0.469,0.7783,0
492,492,492,"
Nice product good red colourPrintings are very clear and high qualitySmooth zipper and also strongFine and robust stitchings especially on shoulders
",nice product good red colourprinting clear high qualitysmooth zipper also strongfine robust stitching especially shoulder,0.493,0.0,0.507,0.8658,0
493,493,493,"
Value for money
",value money,0.706,0.0,0.294,0.34,0
494,494,494,"
Delivery time is more than 7 for prime membership also. Useless prime membership for deliveryProduct also average
",delivery time 7 prime membership also useless prime membership deliveryproduct also average,0.0,0.219,0.781,-0.4215,1
495,495,495,"
The product was torn, used and dirty. Never expected such branded products also would be delivered this way. Anyways, the product was replaced with a good one.
",product tear use dirty never expect brand product also would deliver way anyways product replace good one,0.139,0.139,0.721,0.0,0
496,496,496,"
Cheap material used to make this. Just name of America Tourister not quality of the same.
",cheap material use make name america tourister quality,0.0,0.0,1.0,0.0,0
497,497,497,"
Guys plz don't buy this products.. It's totally fake products. When you hold this bag. U will feel that.. Material is very cheap..i don't knw why they sale.. Fake products under the Brand name
",guy plz do not buy product totally fake product hold bag u feel material cheapi do not knw sale fake product brand name,0.048,0.251,0.701,-0.7569,1
498,498,498,"
Good product
",good product,0.744,0.0,0.256,0.4404,0
499,499,499,"
Good
",good,1.0,0.0,0.0,0.4404,0
500,500,500,"
The bag fake American tourister product.the quality and durability is bad.not to up the mark.waste of your money not value money product
",bag fake american tourister productthe quality durability badnot markwaste money value money product,0.145,0.188,0.667,-0.1779,1
501,501,501,"
I never thought that I'll get such a good bag online. I've been using it for 3 months and there's no change in the condition.Good to go product.
",never think ill get good bag online I ve use 3 month there s change conditiongood go product,0.287,0.0,0.713,0.6407,0
502,502,502,"
I bought 2 bags from AMERICAN TOURISTER and the performance of these bags are outstanding...I like this bag but the design could be more vibrant in the sideways...
",buy 2 bag american tourister performance bag outstandingi like bag design could vibrant sideways,0.349,0.0,0.651,0.7096,0
503,503,503,"
Would be better if it has adjustable clips in side,water bottle holder is too large and bottle jumping out while driving. Otherwise everything is good.
",would well adjustable clip sidewater bottle holder large bottle jumping drive otherwise everything good,0.294,0.0,0.706,0.6124,0
504,504,504,"
Not original...it's a duplicate
",originalit duplicate,0.0,0.0,1.0,0.0,0
505,505,505,"
Liked it especially if you want to travel with laptop along with clothes for one to two days.
",like especially want travel laptop along clothe one two day,0.338,0.0,0.662,0.4754,0
506,506,506,"




                    The media could not be loaded.
                



 Best quality 👌
",medium could loaded good quality,0.42,0.0,0.58,0.4404,0
507,507,507,"
It looks very good and is available at a very low price. Good it is made up of things and good things.
",look good available low price good make thing good thing,0.518,0.125,0.357,0.765,0
508,508,508,"
Pockets for keeping bottle are not that much good beacuse it got torn.  Overall the bag is good. Worth the money
",pocket keep bottle much good beacuse get tear overall bag good worth money,0.435,0.0,0.565,0.7717,0
509,509,509,"
Below Average bag, not woth the value, don't waste your money on this
",average bag woth value do not waste money,0.441,0.0,0.559,0.5764,0
510,510,510,"
Material quality is good but ordered material is orange color received bag is black color  so  we are not happy with this bag
",material quality good order material orange color receive bag black color happy bag,0.375,0.0,0.625,0.765,0
511,511,511,"
It's good for what amount we are paying. Moreover getting this brands product for this price was great.
",good amount pay moreover get brand product price great,0.486,0.097,0.417,0.765,0
512,512,512,"
I bought this bag for ₹600 but this not worth for it. Because the material not good.This bag you can buy when it is ₹250 or ₹300 otherwise simply waste
",buy bag 600 worth material goodthis bag buy 250 300 otherwise simply waste,0.121,0.178,0.701,-0.2263,1
513,513,513,"
Useless doesn't look like American tourister
",useless do not look like american tourister,0.0,0.495,0.505,-0.6007,1
514,514,514,"
Design and size of bag is good but the quality is low compared to what I have used from this brand before. Zippers are weak.
",design size bag good quality low compare use brand zipper weak,0.182,0.314,0.503,-0.2732,1
515,515,515,"
No need to buy, totally waste of money
",need buy totally waste money,0.0,0.436,0.564,-0.4754,1
516,516,516,"
Good sturdy bag have been using it for the past few weeks so far so good.Yet to check the stitching strength..
",good sturdy bag use past week far goodyet check stitching strength,0.404,0.0,0.596,0.7269,0
517,517,517,"
It's a light weight bag and it is use traveling comfortableGood quality bagAnd looking so good
",light weight bag use travel comfortablegood quality bagand look good,0.244,0.0,0.756,0.4404,0
518,518,518,"
It's may not be fit for school also.
",may fit school also,0.455,0.0,0.545,0.3612,0
519,519,519,"
Its not voluminous...its not durable, i goy cheated by this product...it can't hold heavy weights...I request the manufacturer to consider for a refund
",voluminousit durable goy cheat productit can not hold heavy weightsi request manufacturer consider refund,0.0,0.188,0.812,-0.4588,1
520,520,520,"
Good quality bag 👍Light weightGood for casual and traveling both 👍
",good quality bag light weightgood casual travel,0.485,0.0,0.515,0.5719,0
521,521,521,"
Very good quality product.
",good quality product,0.592,0.0,0.408,0.4404,0
522,522,522,"
The material  quality  of bag is slightly  not good is good for price range of 500 rupees. but looking  good .
",material quality bag slightly good good price range 500 rupee look good,0.465,0.0,0.535,0.7796,0
523,523,523,"
Side grip for Water bottle is not good..
",side grip water bottle good,0.42,0.0,0.58,0.4404,0
524,524,524,"
Overall this bag is good but it do not slip water and is non water resistance
",overall bag good slip water non water resistance,0.293,0.0,0.707,0.4404,0
525,525,525,"
Satisfactory
",satisfactory,1.0,0.0,0.0,0.3612,0
526,526,526,"
Good for the price. No complaints.
",good price complaint,0.475,0.361,0.164,0.1779,0
527,527,527,"
Please I request after reading this don't buy this bag it always delivers with defect.......I suggest you to go for sky bags as I think that they are selling local product in the name of American touristerI think it would be helpful for you..☺️
",please request reading do not buy bag always deliver defecti suggest go sky bag think sell local product name american touristeri think would helpful,0.188,0.0,0.812,0.6249,0
528,528,528,"




                    The media could not be loaded.
                



 Superb 🤗
",medium could load superb,0.577,0.0,0.423,0.6249,0
529,529,529,"
Good product
",good product,0.744,0.0,0.256,0.4404,0
530,530,530,"
The bag's looks are great.Material is good..Light weightWater resistant..but rain cover is not there in this bag!Otherwise it's a very nice bag
",bag look greatmaterial goodlight weightwater resistantbut rain cover bagotherwise nice bag,0.219,0.0,0.781,0.4215,0
531,531,531,"
After using for mote then 3 months ..Only I will say best product at this cost#value for money
",use mote 3 month say good product costvalue money,0.293,0.0,0.707,0.4404,0
532,532,532,"
Very bad delirious quality .I suggest not to buy this bag as it is wastage of money.
",bad delirious quality suggest buy bag wastage money,0.0,0.333,0.667,-0.5423,1
533,533,533,"
Not a good quality one,probably will prefer a lower brand product and could save your money
",good quality oneprobably prefer low brand product could save money,0.401,0.138,0.461,0.6124,0
534,534,534,"




                    The media could not be loaded.
                



 Yaa... it's a very unique bag not only unique but also attractive. I generally say that this bag is more comfortable and fit and fine our budget.
",medium could load yaa unique bag unique also attractive generally say bag comfortable fit fine budget,0.467,0.0,0.533,0.8591,0
535,535,535,"
Good
",good,1.0,0.0,0.0,0.4404,0
536,536,536,"
Defective product is delivered. Doubtful seller.
",defective product deliver doubtful seller,0.0,0.639,0.361,-0.6486,1
537,537,537,"
Good
",good,1.0,0.0,0.0,0.4404,0
538,538,538,"
It’s was delivered ahead of the scheduled time.. good piece of bag.
",deliver ahead schedule time good piece bag,0.326,0.0,0.674,0.4404,0
539,539,539,"
Great product. Have been using it for more than a month. No issues or complaints
",great product use month issue complaint,0.398,0.214,0.388,0.4404,0
540,540,540,"
Good light weight product
",good light weight product,0.492,0.0,0.508,0.4404,0
541,541,541,"
It's a light weight backpack with durable fabric and stitching. I can say it's value for money as well.
",light weight backpack durable fabric stitching say value money well,0.36,0.0,0.64,0.5423,0
542,542,542,"
The size of bag is not satisfactory. I also bought same 32 ltrs skybag and it has much more capacity then it. Same capacity but it was more spacious and bigger.
",size bag satisfactory also buy 32 ltrs skybag much capacity capacity spacious big,0.172,0.0,0.828,0.3612,0
543,543,543,"
Not have enough padding to keep the laptop secure.Not useful for me.Otherwise great for school/college going kids.
",enough padding keep laptop securenot useful meotherwise great schoolcollege go kid,0.438,0.0,0.562,0.7906,0
544,544,544,"
Hardly 1.5 month been used (as children were on vacation)....and stitches have come out.....Earlier the quality was good and upto mark.....and now quality is going down day by day.
",hardly 15 month use child vacationand stitch come outearli quality good upto markand quality go day day,0.153,0.0,0.847,0.4404,0
545,545,545,"
The zip chain of the first compartment always gets stuck in with the material of the bag, Other than that everything is fine
",zip chain first compartment always get stuck material bag everything fine,0.141,0.156,0.703,-0.0516,1
546,546,546,"
The bag is nice ,big and light however after using it for few months I noticed that the compartments inside were tearing from the sides..not expecting this from a branded bag
",bag nice big light however use month noticed compartment inside tear sidesnot expect brand bag,0.167,0.0,0.833,0.4215,0
547,547,547,"
Bag is very good, spacious, nice organiser. But colour is not gracefull as showed in pic.
",bag good spacious nice organiser colour gracefull show pic,0.449,0.0,0.551,0.6908,0
548,548,548,"
Super product
",super product,0.796,0.0,0.204,0.5994,0
549,549,549,"
The quality of the product is not very good. Just an average product and space wise good only but you can not carry too weight products.
",quality product good average product space wise good carry weight product,0.527,0.0,0.473,0.836,0
550,550,550,"
Very very good product .....but I gave one star less cause it should had the laptop case in this price range
",good product give one star less cause laptop case price range,0.225,0.0,0.775,0.4404,0
551,551,551,"
not worth for moey
",worth moey,0.655,0.0,0.345,0.2263,0
552,552,552,"
It is a very good bag specially for college and school and it is light weight product. Thank you Amazon for a good quality product
",good bag specially college school light weight product thank amazon good quality product,0.526,0.0,0.474,0.8402,0
553,553,553,"
First Of All I would like to thank you Amazon for giving such bag at low price and  got the product after 2 days of ordering now talking about the bag the design looks great and the quality is also very good. But the strap is little bit wider compare to other bags. At last I am satisfied with the product.
",first would like thank amazon give bag low price get product 2 day order talk bag design look great quality also good strap little bit wide compare bag last satisfied product,0.397,0.05,0.553,0.9246,0
554,554,554,"
It was faulty...the joins are  stitched which I observed  later.....the quality of the bag is very  bad.....sone interior  part just wipe  out after 7 days of normal usage.....highly recommend to Amazon  please verify vendors before selling  inferior  quality products
",faultythe join stitch observe laterthe quality bag badsone interior part wipe 7 day normal usagehighly recommend amazon please verify vendor sell inferior quality product,0.296,0.092,0.612,0.6124,0
555,555,555,"
the bag is  not at all good....it's build quality is not at all good....it's material is worst....i dont when it will tear...worst bag of AT...not at all satisfied..total disatisgfication
",bag goodit build quality goodit material worsti do not tearworst bag atnot satisfiedtotal disatisgfication,0.0,0.0,1.0,0.0,0
556,556,556,"
It is amazing. I like it very much. It quality is awesome. It's materials are outstanding. It's weight is a very light. It's has a great look. It's fantastic.
",amazing like much quality awesome material outstanding weight light great look fantastic,0.786,0.0,0.214,0.9723,0
557,557,557,"
Good
",good,1.0,0.0,0.0,0.4404,0
558,558,558,"
I have been using it from last one year and trust me guys it’s amazing.
",use last one year trust guy amazing,0.587,0.0,0.413,0.7964,0
559,559,559,"
Nice lightweight bag with enough compartments for use.
",nice lightweight bag enough compartment use,0.359,0.0,0.641,0.4215,0
560,560,560,"
It is smaller than expected...and doesn't look premium. However, stitching is good.
",small expectedand do not look premium however stitch good,0.266,0.0,0.734,0.4404,0
561,561,561,"
Bag  condition is not good. at multi locations it's  thread is broken.  Also it's design of upper pocket is not good as  nothing you can keep in this pocket due to single Chain materials can pop out  if chain  is slightly opened. It's chain also getting stuck frequently.
",bag condition good multi location thread break also design upper pocket good nothing keep pocket due single chain material pop chain slightly open chain also get stick frequently,0.182,0.0,0.818,0.7003,0
562,562,562,"
Amazon not provides warranty cards.pls provide the same.
",amazon provide warranty cardspls provide,0.298,0.0,0.702,0.1779,0
563,563,563,"
Its an awesome backpack
",awesome backpack,0.804,0.0,0.196,0.6249,0
564,564,564,"
Has a lot of compartments. Value for money.
",lot compartment value money,0.444,0.0,0.556,0.34,0
565,565,565,"
With in one month it damaged  ,poor quality ,poor stitching. My 5 year old wildcraft  is better than this. Replaced with  the same  one.
",one month damage poor quality poor stitching 5 year old wildcraft well replace one,0.102,0.459,0.439,-0.8074,1
566,566,566,"
Good quality
",good quality,0.744,0.0,0.256,0.4404,0
567,567,567,"
Spacious. Good quality fabric. Could have a separate compartment for laptop.
",spacious good quality fabric could separate compartment laptop,0.293,0.0,0.707,0.4404,0
568,568,568,"
I have bought this bag for 800INR only. It is a original american tourister bag with 1year international warrenty.this is a Amazing shopping experience with amazon
",buy bag 800inr original american tourister bag 1year international warrentythis amazing shopping experience amazon,0.415,0.0,0.585,0.7783,0
569,569,569,"
Good quality❤. Useful for students. Can use this bag for schools, travel, colleges and so on. Liked the product very much👍👍. Worth for money😀🤩
",good quality useful student use bag school travel college like product much worth money,0.505,0.0,0.495,0.8481,0
570,570,570,"
Perfect bag for travel. It can take lot of items. Only thing missing was a separate pouch for carrying laptop.
",perfect bag travel take lot item thing miss separate pouch carry laptop,0.242,0.105,0.654,0.4767,0
571,571,571,"
It's a good looks good colour also looks good quality is ok but as per brand it's not that good it's not a rain proof
",good look good colour also look good quality ok per brand good rain proof,0.605,0.0,0.395,0.9153,0
572,572,572,"
Nice product
",nice product,0.737,0.0,0.263,0.4215,0
573,573,573,"




                    The media could not be loaded.
                



 Quality is normal not as per my expectations of quality of American Tourister , but oky oky
",medium could load quality normal per expectation quality american tourister oky oky,0.0,0.0,1.0,0.0,0
574,574,574,"
No Raincover no laptop space not worth in this price range.
",raincover laptop space worth price range,0.275,0.0,0.725,0.2263,0
575,575,575,"
It is very very very light weight..... And water resistantance but I bought it for 899 but it is high cost  ... High cost and high quality tq amazon
",light weight water resistantance buy 899 high cost high cost high quality tq amazon,0.116,0.0,0.884,0.1779,0
576,576,576,"
Nice to carry
",nice carry,0.737,0.0,0.263,0.4215,0
577,577,577,"
For traveling purpose it is good & light weight, I don't think it will be fully water proof.........😉
",travel purpose good light weight do not think fully water proof,0.225,0.0,0.775,0.4404,0
578,578,578,"
Good looking... Spacious... Have sufficient small pockets for small things...Overall good product
",good look spacious sufficient small pocket small thingsoverall good product,0.42,0.0,0.58,0.7003,0
579,579,579,"
QUALITY IS GOOD, BAG IS STURDY ,DELIVERY WAS FAST
",quality good bag sturdy delivery fast,0.367,0.0,0.633,0.4404,0
580,580,580,"
I use it for school. For my purpose it is very good.
",use school purpose good,0.492,0.0,0.508,0.4404,0
581,581,581,"
I had to buy another backpack because my roommate took it for himself, so keep this bag away from your roommates is all I can say to the buyers
",buy another backpack roommate take keep bag away roommate say buyer,0.0,0.0,1.0,0.0,0
582,582,582,"
Very bad product i have ever seen. Inner layer is very thin get tear up in single use. I strongly recommend that don’t waste your money on this
",bad product ever see inner layer thin get tear single use strongly recommend do not waste money,0.296,0.149,0.555,0.3468,0
583,583,583,"
Good bag and worth of cost also..
",good bag worth cost also,0.615,0.0,0.385,0.5859,0
584,584,584,"
The quality of the fabric is very bad and hard. Not like the original product.
",quality fabric bad hard like original product,0.378,0.386,0.236,-0.0258,0
585,585,585,"
Good
",good,1.0,0.0,0.0,0.4404,0
586,586,586,"
This product is just huhhhhhhhhh so amazing and looking at the premium quality of zip make this bag toooooooooo ossum
",product huhhhhhhhhh amazing look premium quality zip make bag toooooooooo ossum,0.275,0.0,0.725,0.5859,0
587,587,587,"
Good one
",good one,0.744,0.0,0.256,0.4404,0
588,588,588,"
Inner partition stiching came off in about 3 months.Zips are not smooth as it has to be.
",inner partition stiche come 3 monthszip smooth,0.0,0.0,1.0,0.0,0
589,589,589,"
Water resistant very bad all books , laptop, wallet, etc accessories getting wet when rain, money wasted product, material also look very cheap.
",water resistant bad book laptop wallet etc accessory get wet rain money waste product material also look cheap,0.0,0.283,0.717,-0.743,1
590,590,590,"
Good
",good,1.0,0.0,0.0,0.4404,0
591,591,591,"
Average quality
",average quality,0.0,0.0,1.0,0.0,0
592,592,592,"
Good one
",good one,0.744,0.0,0.256,0.4404,0
593,593,593,"
Don't buy this one ...white part will year with in a month and it will look like one 1 year old bag...Not at all satisfied
",do not buy one white part year month look like one 1 year old bagnot satisfy,0.297,0.0,0.703,0.6705,0
594,594,594,"
Do not buy..Ekdam bakwas bag he go for local brand rather than AT.Khali 6 month me hi fat gaya material quality is very very poor.It like a 3rd copy third class bag..Bakwas me b bakwas..
",buyekdam bakwas bag go local brand rather atkhali 6 month hi fat gaya material quality poorit like 3rd copy third class bagbakwas b bakwas,0.106,0.0,0.894,0.3612,0
596,596,596,"
I m very satisfied with this item. Very light weight and very comfortable. So I love this bag.
",satisfied item light weight comfortable love bag,0.72,0.0,0.28,0.8834,0
597,597,597,"
The bag is nice but I received bag with bad finishing. Threads are getting out from everywhere from bag.. Look into it...
",bag nice receive bag bad finish thread get everywhere bag look,0.183,0.229,0.588,-0.1779,1
598,598,598,"
Good for traveling, light weight ,but if you want to carry laptop then go for other bags..
",good travel light weight want carry laptop go bag,0.375,0.0,0.625,0.4939,0
599,599,599,"
Worth of money
",worth money,0.655,0.0,0.345,0.2263,0
600,600,600,"
Costly in comparison of quality
",costly comparison quality,0.0,0.412,0.588,-0.1027,1
601,601,601,"
Very Bad product. Looking like bag of Rs 300. I recommend don't Buy this bag. This is one of the worst product ever
",bad product look like bag rs 300 recommend do not buy bag one bad product ever,0.208,0.292,0.5,-0.4588,1
602,602,602,"
Top Zip Gets stuck at the place where inner cloth is touching. It IRRITATES you every time when you close the zip.
",top zip get stuck place inner cloth touch irritate every time close zip,0.108,0.289,0.602,-0.4588,1
603,603,603,"
Don't buy waste if money
",do not buy waste money,0.368,0.0,0.632,0.3252,0
604,604,604,"
Bag quality is good but I expected it to be excellent.it is good for students and travelling and it comes with a warranty card.Loved it..
",bag quality good expect excellentit good student travel come warranty cardlove,0.392,0.0,0.608,0.7003,0
605,605,605,"
There is a difference between the pic shown and original product. Material quality is bad. The bag may not last longer than 6 months if regularly used
",difference pic show original product material quality bad bag may last long 6 month regularly use,0.122,0.186,0.691,-0.296,1
606,606,606,"




                    The media could not be loaded.
                



 Nothing to complain about this product.
",medium could load nothing complain product,0.297,0.0,0.703,0.2755,0
607,607,607,"
Its an amazing product. Adequate size, light weight and spacious.
",amazing product adequate size light weight spacious,0.533,0.0,0.467,0.6908,0
608,608,608,"
never expected this kind of product quality not at all interested in this product
",never expect kind product quality interested product,0.258,0.265,0.477,-0.0196,0
609,609,609,"
Good for travel
",good travel,0.744,0.0,0.256,0.4404,0
610,610,610,"
Not Very sturdy. Not waterproof. No rain cover. Not upto the mark from American tourister. Didn't last for even a year, looks like fake product.
",sturdy waterproof rain cover upto mark american tourister do not last even year look like fake product,0.121,0.15,0.728,-0.1531,1
611,611,611,"
The Looks. It is Fantastic.
",look fantastic,0.783,0.0,0.217,0.5574,0
612,612,612,"
The bag is of good quality material and can carry many things without looking bulky. The only thing I disliked was the front compartment. I expected it to be of full length however it is limited upto the small chain at the bottom.
",bag good quality material carry many thing without look bulky thing dislike front compartment expect full length however limited upto small chain bottom,0.106,0.164,0.73,-0.1531,1
613,613,613,"
Poor quality of material. Within a month torne out (फट गया).
",poor quality material within month torne फट गय,0.0,0.307,0.693,-0.4767,1
614,614,614,"
very poor quality the most worst purchase from amazon.. and there is no warranty ..totally disappointed by the brand american tourister...please I don't recommended for any body...stiching is not good...feeling very disppointed
",poor quality bad purchase amazon warranty totally disappoint brand american touristerplease do not recommend bodystiching goodfeele disppointe,0.067,0.461,0.472,-0.8751,1
615,615,615,"
Chain
",chain,0.0,0.0,1.0,0.0,0
616,616,616,"
The bag is very good.Cloth very good.If you have more stuff to keep then u buyingVery comfortable in travelling .
",bag goodcloth goodif stuff keep u buyingvery comfortable travel,0.32,0.0,0.68,0.5106,0
617,617,617,"
Nice product in affordable price I bought it at Rs.799 (32L)material like standard quality i think its water resistance you can use it for travel purpose........Thank you Amazon.
",nice product affordable price buy rs799 32lmaterial like standard quality think water resistance use travel purposethank amazon,0.333,0.0,0.667,0.7184,0
618,618,618,"
1st copy type product don't buy
",1st copy type product do not buy,0.0,0.0,1.0,0.0,0
619,619,619,"
Product is good but as it not good in comparison to online picture shown..But practically it is different feeling product...
",product good good comparison online picture shownbut practically different feeling product,0.477,0.0,0.523,0.743,0
620,620,620,"
Good quality
",good quality,0.744,0.0,0.256,0.4404,0
621,621,621,"
Like-good space, good fabric, chains are good quality.Dislike-only concern from backside it should be little bit hard to keep it straight
",likegood space good fabric chain good qualitydislikeonly concern backside little bit hard keep straight,0.409,0.06,0.531,0.7635,0
622,622,622,"
Quality is good
",quality good,0.744,0.0,0.256,0.4404,0
623,623,623,"
Wonderfully product...every thing is exactly as mentioned in description.Thank you Amazon
",wonderfully productevery thing exactly mention descriptionthank amazon,0.528,0.0,0.472,0.6808,0
624,624,624,"
Overall the product is very good
",overall product good,0.592,0.0,0.408,0.4404,0
625,625,625,"
The company claims this bag as water proof, So I went with 5 min distance in rain on bike the Laptop & other items get wetted.Please do not purchase this item at all if you are interested in buying water proof bag.
",company claim bag water proof go 5 min distance rain bike laptop item get wettedplease purchase item interested buying water proof bag,0.119,0.0,0.881,0.4019,0
626,626,626,"
Helps students like us to carry a lot of books. Very comfortable. One of the best bags from American touristers. A lot of space and can carry almost 11 fat books of different sizes,with tiffin and water bottle. Got in good condition.
",help student like we carry lot book comfortable one good bag american touristers lot space carry almost 11 fat book different sizeswith tiffin water bottle get good condition,0.383,0.0,0.617,0.9231,0
627,627,627,"
Awesome experience...using it for more than a year...
",awesome experienceusing year,0.672,0.0,0.328,0.6249,0
628,628,628,"
Nice color, nice quality.
",nice color nice quality,0.737,0.0,0.263,0.6808,0
629,629,629,"
Using it since 2 years. It’s vary specific and can be used for travelling or collage.
",use since 2 year vary specific use travel collage,0.0,0.0,1.0,0.0,0
630,630,630,"
Quality of bag is very bad, after using it only 15 days it has torn
",quality bag bad use 15 day tear,0.0,0.368,0.632,-0.5423,1
631,631,631,"
It's been only just 1 month and its torn. Please help me to claim warranty. It is not torn by blade or knife but from a string .
",1 month tear please help claim warranty tear blade knife string,0.385,0.0,0.615,0.6124,0
632,632,632,"
I am very very excited and very happy and my bag was looking soo good and durability
",excited happy bag look soo good durability,0.692,0.0,0.308,0.8402,0
633,633,633,"
Very thin material.pls don't buy
",thin materialpls do not buy,0.0,0.0,1.0,0.0,0
634,634,634,"
Excellent
",excellent,1.0,0.0,0.0,0.5719,0
635,635,635,"
Nice quality. Product received is as shown in description. Happy with purchase thank you Amazon.
",nice quality product receive show description happy purchase thank amazon,0.641,0.0,0.359,0.8658,0
636,636,636,"
Not as much expectedBut overall good product
",much expectedbut overall good product,0.42,0.0,0.58,0.4404,0
637,637,637,"
Worth to buy
",worth buy,0.655,0.0,0.345,0.2263,0
638,638,638,"
Good looking, stylish, heavy duty
",good look stylish heavy duty,0.42,0.0,0.58,0.4404,0
639,639,639,"
Quality is not as good as belongs to American Tourister
",quality good belong american tourister,0.42,0.0,0.58,0.4404,0
640,640,640,"
Waste backpack from AT it was not what it is showing in the image I feel it is a fake product
",waste backpack show image feel fake product,0.0,0.541,0.459,-0.7096,1
641,641,641,"
You are ready to buy100% value for money
",ready buy100 value money,0.71,0.0,0.29,0.5994,0
642,642,642,"
The designs are good but the material of the cloth is bad!!😑😑😑😑.....please don't buy it
",design good material cloth badplease do not buy,0.293,0.0,0.707,0.4404,0
643,643,643,"
Very good quality it's being more than a year and still it is going strong. No doubts u can go for it
",good quality year still go strong doubt u go,0.453,0.182,0.365,0.5719,0
644,644,644,"
really nice and thank you seller.
",really nice thank seller,0.746,0.0,0.254,0.707,0
645,645,645,"
Very nice quality, durability and beautiful bag in budget amount. Thanks to Amazon
",nice quality durability beautiful bag budget amount thank amazon,0.686,0.0,0.314,0.872,0
646,646,646,"
Very good
",good,1.0,0.0,0.0,0.4404,0
647,647,647,"
One the best bag I ever had.... quality and performance wife very good.
",one good bag ever quality performance wife good,0.492,0.0,0.508,0.7003,0
648,648,648,"
Very compact and light for short trips and light loading. Attractive too.
",compact light short trip light load attractive,0.326,0.0,0.674,0.4404,0
649,649,649,"
Beg quality is good but size is small. As per size in description  32 liter and wrong description available.
",beg quality good size small per size description 32 liter wrong description available,0.171,0.182,0.647,-0.0516,1
650,650,650,"
Very cheap quality product, total waste of money.I recommend to not buy this waste product.
",cheap quality product total waste moneyi recommend buy waste product,0.166,0.371,0.464,-0.4767,1
651,651,651,"
Best Bag . Water resistive and comfortable to use . Best for tourism and picnics.  Loved this bag a lot .
",good bag water resistive comfortable use good tourism picnic love bag lot,0.624,0.0,0.376,0.9231,0
652,652,652,"
Had purchased it for my husband's nephew and he really liked it.
",purchase husband nephew really like,0.411,0.0,0.589,0.4201,0
653,653,653,"
A very cool looking bag and it's certainly waterproof.so no need of crying on the fact that it doesn't come's with a rain cover.
",cool look bag certainly waterproofso need cry fact do not come rain cover,0.264,0.174,0.562,0.1531,0
654,654,654,"
Very good at this price..Brilliant productOriginal brand
",good pricebrilliant productoriginal brand,0.492,0.0,0.508,0.4404,0
655,655,655,"
Very genuine product. Fully worth of money.
",genuine product fully worth money,0.354,0.0,0.646,0.2944,0
656,656,656,"
Laptop pack should be there,at this price
",laptop pack thereat price,0.0,0.0,1.0,0.0,0
657,657,657,"
very Bad Quality backpacknot worth for 1150it is not waterproof
",bad quality backpacknot worth 1150it waterproof,0.202,0.372,0.426,-0.3818,1
658,658,658,"
Delivered as promised. Very good
",deliver promise good,0.839,0.0,0.161,0.6369,0
659,659,659,"
I liked this.. But this bag does not comes with laptop sleeves
",like bag come laptop sleeve,0.385,0.0,0.615,0.3612,0
660,660,660,"
Packaging was worst roll packing in plastic bag . Looks like a copy of American tourister bag not worth 949 . Just fine
",package bad roll pack plastic bag look like copy american tourister bag worth 949 fine,0.3,0.169,0.531,0.1779,0
661,661,661,"
This is good item. Dear friends go for the same item I have bought. Worth Rs. 1180.
",good item dear friend go item buy worth rs 1180,0.639,0.0,0.361,0.8625,0
