,Unnamed: 0,reviews,new_reviews
931,931,"
❤️
",
932,932,"
Excellent quality
",excellent quality
933,933,"
ok
",ok
934,934,"




                    The media could not be loaded.
                



Like
",medium could load like
935,935,"
Good for utilise
",good utilise
936,936,"




                    The media could not be loaded.
                



Need one more, why unavailable??Got it in great price during sale with latest manufacturing date..
",medium could load need one unavailablegot great price sale late manufacturing date
937,937,"
Good product
",good product
938,938,"
So wonderful 😊
",wonderful
939,939,"
Osam
",osam
940,940,"
Too good
",good
941,941,,
942,942,"
Best quality and value for money. Really good product for school kids. Lite weight with good quality and also stylish.
",good quality value money really good product school kid lite weight good quality also stylish
943,943,"
Its over 1 year since I bought this bag and it tore on the inside.I too was excited when I bought it as it looked like gud quality but now it is completly ruined.
",1 year since buy bag tear insidei excite buy look like gud quality completly ruin
944,944,"
Fantabulous mind blowing...swag look!
",fantabulous mind blowingswag look
945,945,"
Good product
",good product
946,946,"
Very nice 👍
",nice
947,947,"
Can be used for both traveller and students. 15inch laptop easily fit but as from bottom laptop is not secured bcz of very thin material & no cushion provided at bottom in laptop section though the material of backpack is sturdy. Spacious enough for 2-3 days travel for any gender but can't be protected against heavy rainfall. Have to buy rain cover separately. Neither Colour nor design fades easily. I'm using it for 3 yrs & washed it too with soft liquid detergent (ezee). Won't advice to keep lunch box without any protection in the backpack. In case of spillage the design between the 2 at the bottom of 2 section from inside have 2 opening like hole to provide strength for the backpack which will easily let the spillage to reach other section too. Rain cover must be of above 35lit. Below it will let the rain cover to slip from the backpack.Edit: one of the shoulder strap was about to tear of still for 6 month it didn't came out totally so i sent it to repair. My bag was collected from one of the Wildcraft outlet and sent to Bangalore. After keeping it for a month i received a reply that it couldn't be repaired as the fabric isn't available for this production of bag. Instead they are providing me voucher equivalent to my bag's original price. But if u want to receive ur bag as it is then u have to give up voucher. It's due to audit system. It's logical but it's harsh too as i bought this bag with whole heart and now I'm given a choice.😢
",use traveller student 15inch laptop easily fit bottom laptop secure bcz thin material cushion provide bottom laptop section though material backpack sturdy spacious enough 23 day travel gender can not protect heavy rainfall buy rain cover separately neither colour design fade easily I m use 3 yrs wash soft liquid detergent ezee will not advice keep lunch box without protection backpack case spillage design 2 bottom 2 section inside 2 opening like hole provide strength backpack easily let spillage reach section rain cover must 35lit let rain cover slip backpackedit one shoulder strap tear still 6 month do not come totally send repair bag collect one wildcraft outlet send bangalore keep month receive reply could not repair fabric be not available production bag instead provide voucher equivalent bag original price u want receive ur bag u give voucher due audit system logical harsh buy bag whole heart I m give choice
948,948,"
Stitching is good .Space is sufficient as shown .I used it for 10 months .no zip damage .The print is long lasting .The handles have thick cushions.Mesh behind the bag front side causing less pain on the back.the hanging length is adjustable like any other bag .2 hangers to hang to any type of hook sizes .You can carry the bag with one hand as seen in pic.Not a waterproof but splashes can be resisted.buy bag cover for travel needs.
",stitch good space sufficient show use 10 month zip damage print long last handle thick cushionsmesh behind bag front side cause less pain backthe hang length adjustable like bag 2 hanger hang type hook size carry bag one hand see picnot waterproof splash resistedbuy bag cover travel need
949,949,"
Design, weight and comfort bag. Good quality.
",design weight comfort bag good quality
950,950,,
951,951,"
Not that good compare to cost
",good compare cost
952,952,"
I loved it. Have been using it regularly.
",love use regularly
953,953,"
Overall quality is good. I suggest to improve quality in strich.
",overall quality good suggest improve quality strich
954,954,"
Good
",good
955,955,"
Good product
",good product
956,956,"
Very nice 👍
",nice
957,957,"
Can be used for both traveller and students. 15inch laptop easily fit but as from bottom laptop is not secured bcz of very thin material & no cushion provided at bottom in laptop section though the material of backpack is sturdy. Spacious enough for 2-3 days travel for any gender but can't be protected against heavy rainfall. Have to buy rain cover separately. Neither Colour nor design fades easily. I'm using it for 3 yrs & washed it too with soft liquid detergent (ezee). Won't advice to keep lunch box without any protection in the backpack. In case of spillage the design between the 2 at the bottom of 2 section from inside have 2 opening like hole to provide strength for the backpack which will easily let the spillage to reach other section too. Rain cover must be of above 35lit. Below it will let the rain cover to slip from the backpack.Edit: one of the shoulder strap was about to tear of still for 6 month it didn't came out totally so i sent it to repair. My bag was collected from one of the Wildcraft outlet and sent to Bangalore. After keeping it for a month i received a reply that it couldn't be repaired as the fabric isn't available for this production of bag. Instead they are providing me voucher equivalent to my bag's original price. But if u want to receive ur bag as it is then u have to give up voucher. It's due to audit system. It's logical but it's harsh too as i bought this bag with whole heart and now I'm given a choice.😢
",use traveller student 15inch laptop easily fit bottom laptop secure bcz thin material cushion provide bottom laptop section though material backpack sturdy spacious enough 23 day travel gender can not protect heavy rainfall buy rain cover separately neither colour design fade easily I m use 3 yrs wash soft liquid detergent ezee will not advice keep lunch box without protection backpack case spillage design 2 bottom 2 section inside 2 opening like hole provide strength backpack easily let spillage reach section rain cover must 35lit let rain cover slip backpackedit one shoulder strap tear still 6 month do not come totally send repair bag collect one wildcraft outlet send bangalore keep month receive reply could not repair fabric be not available production bag instead provide voucher equivalent bag original price u want receive ur bag u give voucher due audit system logical harsh buy bag whole heart I m give choice
958,958,"
Stitching is good .Space is sufficient as shown .I used it for 10 months .no zip damage .The print is long lasting .The handles have thick cushions.Mesh behind the bag front side causing less pain on the back.the hanging length is adjustable like any other bag .2 hangers to hang to any type of hook sizes .You can carry the bag with one hand as seen in pic.Not a waterproof but splashes can be resisted.buy bag cover for travel needs.
",stitch good space sufficient show use 10 month zip damage print long last handle thick cushionsmesh behind bag front side cause less pain backthe hang length adjustable like bag 2 hanger hang type hook size carry bag one hand see picnot waterproof splash resistedbuy bag cover travel need
959,959,"
Design, weight and comfort bag. Good quality.
",design weight comfort bag good quality
960,960,,
961,961,"
Not that good compare to cost
",good compare cost
962,962,"
I loved it. Have been using it regularly.
",love use regularly
963,963,"
Overall quality is good. I suggest to improve quality in strich.
",overall quality good suggest improve quality strich
964,964,"
Good
",good
965,965,"
Good
",good
966,966,"
Ok quality
",ok quality
967,967,"
nice
",nice
968,968,"
Good Product from wildcraft, but sizewise its small when compared to the image in Online.
",good product wildcraft sizewise small compare image online
969,969,"
Met my expectations of a Wildcraft bag. A bit overpriced but the quality is good.
",meet expectation wildcraft bag bit overprice quality good
970,970,"
The quality of the bag is superb... My son liked it very much
",quality bag superb son like much
971,971,"
I love this bag. Purchased 2nd time
",love bag purchase 2nd time
972,972,"
Size and space are sufficient can fit multiple things
",size space sufficient fit multiple thing
973,973,"
been my goto since my childhood my old one lasted a mere 17 years and still has some life in it but it looks very worn outthis one survived harsh rain an accident and looks brand new what material science wizardry Wildcraft has iam not sure. keep it rocking Wildcraft.
",goto since childhood old one last mere 17 year still life look worn outthis one survive harsh rain accident look brand new material science wizardry wildcraft iam sure keep rock wildcraft
974,974,"
The size of the bag is too small and no value for money
",size bag small value money
975,975,"




                    The media could not be loaded.
                



I like it and I use it in daily office routine.
",medium could load like use daily office routine
976,976,"
Once fully packed isn't comfortable carryng on one shoulder.
",fully pack be not comfortable carryng one shoulder
977,977,"
nice
",nice
978,978,"
Good product
",good product
979,979,"
Its good looking and quality is awesome and colour combination is dignified and the most happiest thing is that it has 5years of warranty
",good look quality awesome colour combination dignify happy thing 5years warranty
980,980,"
It has great quality and very comfortable ,nice product.
",great quality comfortable nice product
981,981,"
Bag has too big bottle holder has no adjuster to tight the bottle , so my bottle drops oftenly when i travel
",bag big bottle holder adjuster tight bottle bottle drop oftenly travel
982,982,"
Big size and comfort to carry.
",big size comfort carry
983,983,"
this bad almost cost 2k but feels kinda cheap when compared with my cheaper bags. Overall a cool looking bag. Must buy if you love wolfs
",bad almost cost 2k feel kinda cheap compare cheap bag overall cool look bag must buy love wolfs
984,984,"
Comfort and Quality
",comfort quality
985,985,"
It's a fake Wildcraft product. When you try to scan the QR code provided to avail warranty, it won't work.
",fake wildcraft product try scan qr code provide avail warranty will not work
986,986,"
Material is very soft. Zipper is struck at corners.
",material soft zipper strike corner
987,987,"
The bag is very spacious. Material is light weight, water proof and durable. Design is classy. No fading of colours from constant use.I have been using it on regular basis for my work purpose for the last two months And I am quite satisfied with it except for the water bottle compartment. Even a 1 L bottle doesn’t fit well in it, Cause if you bend down like - to tie your shoes or pick up something that you have dropped from the ground - with the bag on and a bottle in the water bottle compartment, it is sure to fall.
",bag spacious material light weight water proof durable design classy fade colour constant usei use regular basis work purpose last two month quite satisfied except water bottle compartment even 1 l bottle do not fit well cause bend like tie shoe pick something drop ground bag bottle water bottle compartment sure fall
988,988,"
Nice i like it but space is less
",nice like space less
989,989,"
Bag was great . It’s genuine product.  I bought it at 1500.  I have seen most of the time during special days like festival or sales the price will be around 1000rs .
",bag great genuine product buy 1500 see time special day like festival sale price around 1000rs
990,990,"
A good backpack. How far this bag is water resistant we haven't verified.
",good backpack far bag water resistant have not verify
991,991,"
Quality is decent but a bit small for the price.
",quality decent bit small price
992,992,"
Superb Quality And Very Comfortable ...
",superb quality comfortable
993,993,"
Perfect for college students
",perfect college student
994,994,"
Bag is good... Amazing water resistanceBut inside the quality is not that good it...within few days it tore from inside... Now there's a hole in thereApart from that it dries up very quick good design.. Super cool for high school and college
",bag good amazing water resistancebut inside quality good itwithin day tear inside there s hole thereapart dry quick good design super cool high school college
995,995,"
It is water prooofWoW
",water prooofwow
996,996,"
I like this product. Amazing look and nice fabric with good space
",like product amazing look nice fabric good space
997,997,"
Wild wild craft...crafted wildely...made me go a bit wild :-D Was disappointed with this bag. But then it was a bad choice from my side I guess. That is what one would get from Wildcraft for that price. And this was not a laptop bag which the description said. The tag on the bag said  ""School Bag"" Well, I always loved Wildcraft and I went ahead and bought a more upmarket model and am in love with it :-)
",wild wild craftcrafte wildelymade go bit wild disappointed bag bad choice side guess one would get wildcraft price laptop bag description say tag bag say school bag well always love wildcraft go ahead buy upmarket model love
998,998,"
I use this bag for college and it’s been working pretty good so far. Only problem is it ain’t got any extra compartments to keep extra stuff like earphones or pens. Overall build quality is good
",use bag college work pretty good far problem be not get extra compartment keep extra stuff like earphones pen overall build quality good
999,999,"
Had bought the blue color bag for my older son and seeing convenience and quality made me order the black one for my younger son.3 compartments and multiple other pockets makes it very easy to organize items in the bags.Very light weight, big size which can accommodate text books, notebooks, lunch and snack boxes of a 6th and 10th standard child very easily. Water repellent material means no more seepage of water and having to carry the books inside a plastic cover.
",buy blue color bag old son see convenience quality make order black one young son3 compartment multiple pocket make easy organize item bagsvery light weight big size accommodate text book notebooks lunch snack box 6th 10th standard child easily water repellent material mean seepage water carry book inside plastic cover
1000,1000,"
Very small in size pls without physical verify do not buy.
",small size pls without physical verify buy
1001,1001,"
Quality of zip is pathetic and it malfunctions
",quality zip pathetic malfunction
1002,1002,"
Nice bag has some nice compartments the eyes are bright .overall a nice bag
",nice bag nice compartment eye bright overall nice bag
1003,1003,"
This product is very nice... It's really a worthy commodity for money... Wild craft is giving 5 year assurance guarantee on this product... I am really satisfied with this bag.. Thank you Amazon and Wild craft...
",product nice really worthy commodity money wild craft give 5 year assurance guarantee product really satisfied bag thank amazon wild craft
1004,1004,"
On some reviews, it was mentioned as water resistant but after using it in first rain fall, it proved that documents in all 3 compartments get wet which made me know that it is not at all water resistant. Not expected it for Wildcraft product. When we buy it as laptop bag then it is expected to be well enought to protect the laptop from water but it is total failure. Very much disappointed with the quality. Felt deceived in name of brand. I will not recommend it to buy at 2k cost.
",review mention water resistant use first rain fall prove document 3 compartment get wet make know water resistant expect wildcraft product buy laptop bag expect well enought protect laptop water total failure much disappointed quality feel deceive name brand recommend buy 2k cost
1005,1005,"
Bag quality is good and light weight but in big size chain not close properly at my end some time it is create problem.I will recommend this, you can buy this product.
",bag quality good light weight big size chain close properly end time create problemi recommend buy product
1006,1006,"
Product is ok, I expected bigger size as it is 40ltr capacity but it is normal laptop bag
",product ok expect big size 40ltr capacity normal laptop bag
1007,1007,"
Good
",good
1008,1008,"
The product is really very good
",product really good
1009,1009,"
Lots of compartments, bottle holder,  good material and design. My teenager chose it and is pleased with it
",lot compartment bottle holder good material design teenager choose please
1010,1010,"
A good quality and durable bag.
",good quality durable bag
1011,1011,"
agar aap out city travel kar rahe hei bag ke sath to ye suitable nahi ye bahut hi slim material ka bana hei ye sayad hi jyada time tak chale isko use karke fir hi bata paunga kaisa chal raha heiOverall is price mei acha bag heiIsi brand ka high price lene mei jyada fayeda hei laptop ke liye
",agar aap city travel kar rahe hei bag ke sath ye suitable nahi ye bahut hi slim material ka bana hei ye sayad hi jyada time tak chale isko use karke fir hi bata paunga kaisa chal raha heioverall price mei acha bag heiisi brand ka high price lene mei jyada fayeda hei laptop ke liye
1012,1012,"
Extremely lightweight...I repeat extremely lightweight and small looking yet carries a lot of things in it.. not entirely waterproof, sometimes when it's raining my documents in 1st chain gets a little wet, not entirely.
",extremely lightweighti repeat extremely lightweight small looking yet carry lot thing entirely waterproof sometimes rain document 1st chain get little wet entirely
1013,1013,"
COMFORTABLE, STYLISH,BIG STORAGE
",comfortable stylishbig storage
1014,1014,"
Design- 8Material of bag - Thin (Need to check durability)Light weight- 10Shoulder paddings- 8Bottom padding- 0Water resistant- Look like water repellent Material (but Need to check)Zips are good - 8ConsNo Bottom padding(If you want light weight bag with good design and good number of compartment & pocket  but okay with no bottom padding or willing to use manual bottom padding. Then this one is for you)
",design 8material bag thin need check durabilitylight weight 10shoulder padding 8bottom padding 0water resistant look like water repellent material need checkzip good 8consno bottom paddingif want light weight bag good design good number compartment pocket okay bottom pad willing use manual bottom pad one
1015,1015,"
NICE PRODUCT
",nice product
1016,1016,"




                    The media could not be loaded.
                



I recently purchased a laptop bag from Amazon, and I am extremely disappointed with the poor quality. The bag features a fake brand logo, and the overall construction is subpar. The materials used are flimsy, and the stitching is uneven. The zippers are prone to jamming, making it a frustrating experience. I strongly advise against purchasing this product, as it does not meet the advertised quality.I recommend don't purchase from this seller.
",medium could load recently purchase laptop bag amazon extremely disappoint poor quality bag feature fake brand logo overall construction subpar material use flimsy stitching uneven zipper prone jamming make frustrating experience strongly advise purchase product meet advertise qualityi recommend do not purchase seller
1017,1017,"
Good product spacious highly recommend it
",good product spacious highly recommend
1018,1018,"
Nice 3 year completed
",nice 3 year complete
1019,1019,"
First, To the many people who confused with the product genuine, this product is genuine. I have registered in wildcraft website also.Pros: spacious, fit for 17 inch laptop alsoCons: the bag material is too thin. I have been using wildcraft bags for long. I never seen this thin sheets.I will update the durability after using for some months.
",first many people confuse product genuine product genuine register wildcraft website alsopros spacious fit 17 inch laptop alsocon bag material thin use wildcraft bag long never see thin sheetsi update durability use month
1020,1020,"
I have some damage pice
",damage pice
1021,1021,"
First of all the wolf printed on it looks aggressive and awesome,quality avg but bag looks superb
",first wolf print look aggressive awesomequality avg bag look superb
1022,1022,"
Quality is decent and it is spacious. Only problem is,  it doesn't have any valcro or zip for laptop sleeve and it is not cushioned also. There is large empty space after putting 15.6 inch laptop and it shakes the PC whenever you shake the bag.
",quality decent spacious problem do not valcro zip laptop sleeve cushion also large empty space put 156 inch laptop shake pc whenever shake bag
1023,1023,"
It’s nice and has compartments to put things it is light weight. It also looks good. But it would be good if it has more compartments.
",nice compartment put thing light weight also look good would good compartment
1024,1024,"
The biggest flaw of this bag is that it does not have even a slight bit of bottom padding. Don't buy if you wish to keep laptop or glass tiffin box in it. It's gonna break or get damage one day or the other.Otherwise you can use it, its quite spacious.
",big flaw bag even slight bit bottom padding do not buy wish keep laptop glass tiffin box go to break get damage one day otherotherwise use quite spacious
1025,1025,"
The quality of the bag is excellent and received the same product as I ordered
",quality bag excellent receive product order
1026,1026,"
It's a great bag, but there is one problem. The material of the bag is not so much good and there no support for long bottles as other bags have.
",great bag one problem material bag much good support long bottle bag
1027,1027,"
A one year honest review from a high school student is that its a great bag but the wolf is worn out after a year and a little bit of holes can be seen...
",one year honest review high school student great bag wolf wear year little bit hole see
1028,1028,"




                    The media could not be loaded.
                



It's look like very nice 🥰
",medium could load look like nice
1029,1029,"
Writing this review after 3months of usage. Zip is of very bad quality. Wildcraft has reduced it's QUALITY and it's not waterproof/waterresistance. So don't waste your money on it.
",write review 3months usage zip bad quality wildcraft reduce quality waterproofwaterresistance do not waste money
1030,1030,"
Look and feel wise bag is good. I chose the nylon one since it is supposed to be stronger. Looks like it will last.Am taking away 1 star because the bag is not as big as expected. It cannot hold a 17 inch laptop. The bag narrows towards the top,  that is possibly the reason. Need more volume statistics on the bags to buy the correct ones.
",look feel wise bag good choose nylon one since suppose strong look like lastam take away 1 star bag big expect can not hold 17 inch laptop bag narrow towards top possibly reason need volume statistic bag buy correct one
1031,1031,"
This Bag can be used as a school bag. Not much big as I expected (44 liters). Quality is average but warranty is for 5 years (not expecting 5 year life).Don't have any cushion/pad protection for laptop, that's the main drawback.The handle (to hold a a suite case) is not good and is not cushioned.Overall I am not happy but just ok
",bag use school bag much big expect 44 liter quality average warranty 5 year expect 5 year lifedont cushionpad protection laptop that s main drawbackthe handle hold suite case good cushionedoverall happy ok
1032,1032,"
The bag is really spacious.I find it really fits all my needs.The bag is real light-weight.
",bag really spaciousi find really fit needsthe bag real lightweight
1033,1033,"
No
",
1034,1034,,
1035,1035,"
I have been usung it for 3 months now.It has some signs of wear and tear but its fine. Doesn't get dirty very quickly and is very lightweight,Is very durable and has a lot of durability.It would be strongly recommend for school students for all classes unless they play bag fights and drag the bag all over stone. Has accessories pouch and is ok water proof for a water bottle fight but isn't tested in heavy showers.Design is fabulous and very cool and awesome. Overall The Bag Is a LEGEND and the best bag for a budget
",usung 3 month nowit sign wear tear fine do not get dirty quickly lightweightis durable lot durabilityit would strongly recommend school student class unless play bag fight drag bag stone accessory pouch ok water proof water bottle fight be not test heavy showersdesign fabulous cool awesome overall bag legend good bag budget
1036,1036,"
Bag is spacious with good capacity but no good cushioning to protect the stuff from damage.
",bag spacious good capacity good cushioning protect stuff damage
1037,1037,"
It's wonderful 😊
",wonderful
1038,1038,"
I used it as a school bag
",use school bag
1039,1039,"
Large enough for 8th class student. Light weight and water resistance. Nice experience
",large enough 8th class student light weight water resistance nice experience
1040,1040,"
I really loved this product . The colour is same as shown.Very light weight...I ordered it to my daughter and she loved it very much..thank you amazon...🥰🥰
",really love product colour shownvery light weighti order daughter love muchthank amazon
1041,1041,"
Everything is really good about the bag except the size issue I expected it to be little more big because of my reference in the Amazon site's Picture
",everything really good bag except size issue expect little big reference amazon site picture
1042,1042,"
water seeps in during rain. Compartment are not fully seperated so small object go pass from above chain to lower area through the gap.The graffiti black paint get removed very easily being wet and sunlight
",water seep rain compartment fully seperate small object go pass chain low area gapthe graffiti black paint get remove easily wet sunlight
1043,1043,"
It has total 3 compartments out of which 2 are large you can easily carry a 15.6 inch laptop with 2 pairs of clothes easily. Look is decent wolf looks good and zips are good as well.It is good for 2-3 day trip in winter. The product is good but price is an issue.
",total 3 compartment 2 large easily carry 156 inch laptop 2 pair clothe easily look decent wolf look good zips good wellit good 23 day trip winter product good price issue
1044,1044,"
Very nice looks Wolf  design printed on Wildcraft bag (Black & Grey colour combination) as expected and shown in description. Light weight and latest design and good material used and stitched properly every corner of backpack. Comfortable in travelling, Also value for money. No second thoughts, Pleasele go ahead without hesitation and own It. Thanks Amazon Team for prompt and early delivery. ♥️👍👌
",nice look wolf design print wildcraft bag black grey colour combination expect show description light weight late design good material use stitch properly every corner backpack comfortable travel also value money second thought pleasele go ahead without hesitation thank amazon team prompt early delivery
1045,1045,"
Backpack is same as I expected and I am satisfied with it.
",backpack expect satisfied
1046,1046,"
Overall product is nice. It's super light and looks good only thing which i don't like is very very thin layer seperating the compartments, which actually helped it in weigh reduction. Rest fine.
",overall product nice super light look good thing do not like thin layer seperate compartment actually help weigh reduction rest fine
1047,1047,"
Real wildcraft and quality is very good good for all purposes
",real wildcraft quality good good purpose
1048,1048,"
Writing this after using it for couple of months now. I am happy with the product. It’s light and could carry enough things.
",write use couple month happy product light could carry enough thing
1049,1049,"
Bag seems ok. Can't tell about durability now. As I have just started using it. Will review after fee days. Chain get stuck sometimes. So not sure how long will it last. Can go for American tourist. Fabric and chain quality is. Far better in them as compared to wiki.
",bag seem ok can not tell durability start use review fee day chain get stick sometimes sure long last go american tourist fabric chain quality far well compare wiki
1050,1050,"
Its good but little damaged everytime
",good little damage everytime
1051,1051,"
Average
",average
1052,1052,"
Good bag
",good bag
1053,1053,"
Super spacious product for school and travelling
",super spacious product school travelling
1054,1054,"
Nice
",nice
1055,1055,"
Looks amazing. Excellent, elegant design in a really stylish color (I got the wine red one, will post pictures later). In fact, it looks so good I've already ordered another one in the green color.Yet to test its durability, but right now I'm satisfied with the overall build quality, weight, stitching, material, and internal space. Will update in case I run into any issues.
",look amazing excellent elegant design really stylish color get wine red one post picture later fact look good I ve already order another one green coloryet test durability right I m satisfied overall build quality weight stitching material internal space update case run issue
1056,1056,"
The American Tourister 32L backpack is a reliable and practical choice for travelers and daily commuters alike. Here's why:Ample Capacity: With a spacious 32-liter capacity, this backpack offers plenty of room to carry all your essentials, making it ideal for short trips or daily use.Durable Construction: Crafted from high-quality materials, including sturdy zippers and reinforced stitching, this backpack is built to withstand the rigors of daily use and travel.Comfortable Design: Padded shoulder straps and a cushioned back panel provide comfort during extended wear, reducing strain on your shoulders and back.Organizational Features: Multiple compartments, including a dedicated laptop sleeve and organizer pockets, help keep your belongings organized and easily accessible.Stylish Aesthetic: The sleek design and modern aesthetic of the American Tourister backpack make it a fashionable accessory for any outfit or occasion.Value for Money: Offering durability, comfort, and ample storage space at an affordable price point, this backpack provides excellent value for money.
",american tourister 32l backpack reliable practical choice traveler daily commuter alike here whyample capacity spacious 32liter capacity backpack offer plenty room carry essential make ideal short trip daily usedurable construction craft highquality material include sturdy zipper reinforce stitch backpack build withstand rigor daily use travelcomfortable design pad shoulder strap cushion back panel provide comfort extend wear reduce strain shoulder backorganizational feature multiple compartment include dedicated laptop sleeve organizer pocket help keep belonging organize easily accessiblestylish aesthetic sleek design modern aesthetic american tourister backpack make fashionable accessory outfit occasionvalue money offer durability comfort ample storage space affordable price point backpack provide excellent value money
1057,1057,"
Good for daily use
",good daily use
1058,1058,"
Product is not good, not having the standards of American tourister, and there is no laptop pouch.
",product good standard american tourister laptop pouch
1059,1059,"
Quality is very good, also provide water proofing, overall good bag for school and college students
",quality good also provide water proof overall good bag school college student
1060,1060,"
The product's price is good and with a good label of a company
",product price good good label company
1061,1061,"
Quality is good but no laptop storage.
",quality good laptop storage
1062,1062,"
Nice quality and very spacious, but side mesh are of low quality
",nice quality spacious side mesh low quality
1063,1063,"
Perfect
",perfect
1064,1064,"
Thanks amazon. Loved it higly spacious and good quality
",thank amazon love higly spacious good quality
1065,1065,"
Looks amazing. Excellent, elegant design in a really stylish color (I got the wine red one, will post pictures later). In fact, it looks so good I've already ordered another one in the green color.Yet to test its durability, but right now I'm satisfied with the overall build quality, weight, stitching, material, and internal space. Will update in case I run into any issues.
",look amazing excellent elegant design really stylish color get wine red one post picture later fact look good I ve already order another one green coloryet test durability right I m satisfied overall build quality weight stitching material internal space update case run issue
1066,1066,"
The American Tourister 32L backpack is a reliable and practical choice for travelers and daily commuters alike. Here's why:Ample Capacity: With a spacious 32-liter capacity, this backpack offers plenty of room to carry all your essentials, making it ideal for short trips or daily use.Durable Construction: Crafted from high-quality materials, including sturdy zippers and reinforced stitching, this backpack is built to withstand the rigors of daily use and travel.Comfortable Design: Padded shoulder straps and a cushioned back panel provide comfort during extended wear, reducing strain on your shoulders and back.Organizational Features: Multiple compartments, including a dedicated laptop sleeve and organizer pockets, help keep your belongings organized and easily accessible.Stylish Aesthetic: The sleek design and modern aesthetic of the American Tourister backpack make it a fashionable accessory for any outfit or occasion.Value for Money: Offering durability, comfort, and ample storage space at an affordable price point, this backpack provides excellent value for money.
",american tourister 32l backpack reliable practical choice traveler daily commuter alike here whyample capacity spacious 32liter capacity backpack offer plenty room carry essential make ideal short trip daily usedurable construction craft highquality material include sturdy zipper reinforce stitch backpack build withstand rigor daily use travelcomfortable design pad shoulder strap cushion back panel provide comfort extend wear reduce strain shoulder backorganizational feature multiple compartment include dedicated laptop sleeve organizer pocket help keep belonging organize easily accessiblestylish aesthetic sleek design modern aesthetic american tourister backpack make fashionable accessory outfit occasionvalue money offer durability comfort ample storage space affordable price point backpack provide excellent value money
1067,1067,"
Good for daily use
",good daily use
1068,1068,"
Product is not good, not having the standards of American tourister, and there is no laptop pouch.
",product good standard american tourister laptop pouch
1069,1069,"
Quality is very good, also provide water proofing, overall good bag for school and college students
",quality good also provide water proof overall good bag school college student
1070,1070,"
The product's price is good and with a good label of a company
",product price good good label company
1071,1071,"
Quality is good but no laptop storage.
",quality good laptop storage
1072,1072,"
Nice quality and very spacious, but side mesh are of low quality
",nice quality spacious side mesh low quality
1073,1073,"
Perfect
",perfect
1074,1074,"
Thanks amazon. Loved it higly spacious and good quality
",thank amazon love higly spacious good quality
1075,1075,,
1076,1076,"
🤟
",
1077,1077,"
Gooud
",gooud
1078,1078,"
Good
",good
1079,1079,"
Bag quality is good but even if it says it is a laptop bag but it doesn't have a separate compartment for laptop which doesn't provide comfort needed
",bag quality good even say laptop bag do not separate compartment laptop do not provide comfort need
1080,1080,"
Quality Good
",quality good
1081,1081,"
Good
",good
1082,1082,"
Jabardast he
",jabardast
1083,1083,"
Light weight
",light weight
1084,1084,"
Not given raincover but it's written that it has rain cover. I thought that it has raincover but it doesn't has it.
",give raincover write rain cover think raincover do not
1085,1085,"
Recommended to buy
",recommend buy
1086,1086,"
Very confort
",confort
1087,1087,"
Better and comfortable till 2 months.
",well comfortable till 2 month
1088,1088,"
Good product, but need to increase quality little bit..
",good product need increase quality little bit
1089,1089,"
No laptop slot. Material feels like cheap
",laptop slot material feel like cheap
1090,1090,"
Quality of American tourister should be improved
",quality american tourister improve
1091,1091,,
1092,1092,"
I am using it since two month it is great I got it at rs 799
",use since two month great get rs 799
1093,1093,"
Bht bht badhiya quality hai.
",bht bht badhiya quality hai
1094,1094,"
Good
",good
1095,1095,"
Good bag
",good bag
1096,1096,"
The bag is very big and it make short our way 😄
",bag big make short way
1097,1097,"
Less weight
",less weight
1098,1098,"
Good fabric and good quality but the only thing is high cost, other than everything good and one last thing, missing is laptop pocket.
",good fabric good quality thing high cost everything good one last thing miss laptop pocket
1099,1099,"
In that price range Amazon selling this bagThank you American tourister ✨Go for it 😉 guys it's very comfortable and colour are looking good
",price range amazon sell bagthank american tourister go guy comfortable colour look good
1100,1100,"




                    The media could not be loaded.
                



nice productgood qualitylong time usenice zipper
",medium could load nice productgood qualitylong time usenice zipper
1101,1101,"
The product is high quality for its price and can easily last for 2-3 years which is such a good thing considering it just 999 ruppes
",product high quality price easily last 23 year good thing consider 999 ruppe
1102,1102,"
Good
",good
1103,1103,"
No space for laptop and no rain cover
",space laptop rain cover
1104,1104,"
I highly recommend this bag it is very good and comfortable and affordable school bag .your child will love it.
",highly recommend bag good comfortable affordable school bag child love
1105,1105,"
It's a great product but it's not a waterproof.i haven't noticed that before my order later I get to know this.
",great product waterproofi have not notice order later get know
1106,1106,"
Good bag
",good bag
1107,1107,"
Key holder not available
",key holder available
1108,1108,"
Just Loved it , Buy it without Thinking
",love buy without think
1109,1109,"
I have ordered this bag around 3 years ago and I m using it daily for my school and coaching class and till now it is in same condition like day 1
",order bag around 3 year ago use daily school coaching class till condition like day 1
1110,1110,"
Worth of buying
",worth buy
1111,1111,"
The bag is really awesome. It has many storage compartments.
",bag really awesome many storage compartment
1112,1112,"
Good
",good
1113,1113,"
American beg good quality
",american beg good quality
1114,1114,"
Suitable for travel
",suitable travel
1115,1115,"
Basic hai yaar.I'd have shared the pictures but again just imagine why I can't upload pictures. Coz it's that bad now.
",basic hai yaarid share picture imagine can not upload picture coz bad
1116,1116,"
Good
",good
1117,1117,"
Well designed and good quality backpack. I got it as a school bag for a child in the family.
",well design good quality backpack get school bag child family
1118,1118,"
It's good
",good
1119,1119,"
Used it for 3 years
",use 3 year
