,reviews
710,"
The product is worthy with the price but not exactly same with the picture and the real product , a small difference can be found out . Anyway thankyou Impulse .
"
711,"
Super cool bag low price best quality
"
712,"
Product not good and not comport
"
713,"
This is bag very light weight and can carry many stuffs inside it. The Design is good and nice fabric quality has been used!
"
714,"
I thought I can carry on but it's kids bag🤣🤣After using May I tell you the review
"
715,"
Worth for money
"
716,"
Bag is good but I ordered navyblue colour but they gave me black and then I was returning this and reorder so.. shipping cost....
"
717,"
Just simple bag, not for carrying the laptop outdoors as it is not very strong.
"
718,"
Average to use but not carrying more weight.
"
719,"
Poor quality
"
720,"
Everyday bag , stylish , compact and spacious.
"
721,
722,"
Quality is a bit cheap.....but justified for the price
"
723,"
The bag was received but it damaged already
"
724,"




                    The media could not be loaded.
                



Please hurry up and buy this product
"
725,"
The quality of the bag is not upto marks, the base is very thin and can be torn when rubbed with hard surface andCapacity of the bag is good, it's a huge bag
"
726,"
bad experience with a huge mrp tag the quality is too cheap and you'll regret on the decision of ordering this one, bad one really
"
727,"




                    The media could not be loaded.
                



It's cloth quality is Poor. It won't last very long.  It has a huge pocket in front without any zipper, god knows what the makers were thinking.
"
728,"
The product is good and nice.
"
729,"
Best in this segment
"
730,"
On a discount but quality is very cheap and zippers are not the same.
"
731,"
Very light weight and good
"
732,"
Good quality
"
733,"
Do not go for it
"
734,"




                    The media could not be loaded.
                



I won't recommend you to buy this bag. It will torn within a month from downside.
"
735,"
I just opened the packaging and got this wanderful product, I am searching a bag for office use and some suggested me this impulse bag I just ordered it. This bag thread quality is too good and it Is too light weight just feel like I am holding nothing on my shoulders.
"
736,"
My kid uses it as a school bag. It's the perfect size and has 3 compartments (not seen clearly in the photo) and two small ones too.Got it for 300 so very good quality considering the price.
"
737,"
I am happy after buying  it I loved this bagThis bag is very big to others bags many compartment in this bag  I loved it  😍😍😍😎😎✌️✌️
"
738,"
Worthy
"
739,"
Good product worth the money. Go for it. You will not regret. Got at good price,Thanks amazon. wonderful product at this price
"
740,"
You can use it for gym and college.
"
741,"
Very very nice product. I would like to recommend to buy this product. product is very nice. Price of the product is also much lower. Zipper of this is also very nice. Thanks to the seller for making available such a nice product at very low price.
"
742,"
Although the outer meterial is good and lavish finishing but inner clothing is not stitched well .
"
743,"
I order for office use but it's useful for travel with lite useful material
"
744,"
Avarage quality
"
745,"
Unique design and has 3 compartment bag is sturdy
"
746,"
Very good quality product, it's worth buying it,  rarely get this type of quality product on such lower price.
"
747,"
The bag's build quality impresses, especially considering its price point. Additionally, the quality of the zippers is delightful.
"
748,"
It’s very well made and price is also very less compared to the quality being delivered
"
749,"
One of the worst product ever, back side straps were keep on removing. Worst product
"
750,"
This product looks good material quality is superb according to price
"
751,"
Bag is spacious and the quality is amazing.
"
752,"
Much appreciated for the cost and quality
"
753,"




                    The media could not be loaded.
                



Bag damege
"
754,"
Awesome quality best price.
"
755,"
Stitching quality lowMaterial used not good quality
"
756,"
I suggest you that please don't buy this bag because of very bad quality and high price.
"
757,"




                    The media could not be loaded.
                



Very worst in quality. It is like free gift of energy drinks.
"
758,"
upper quality medium but bottom quality is terrible , strength of bottom is very low quality
"
759,"
Poor quality product...
"
760,"
Quality Is Very GoodWater Resistance Is OkSize Of Bag As MentionWeight Is As MenstionComfort Is Very GoodDurability Is Ok
"
761,"
Not fullfill the quality of item that expected in this price , not durable  material on official website of impulse this type item not have any
"
762,"
Quality is very nice and Good Look. Light weight, look like a High figh.nice comfort. Good Pattern. Totally Awesome. Tq Impulse and Amazon.
"
763,"
This bag look wise to much good but not suitable for use The clothes underneath it are not good and I am returning it.
"
764,"
Bad quality .the product is very bad we can't used it bcz it can't hold books.we didn't like it.we didn't liked it worst bag.
"
765,"
I BOUGHT THIS ITEM FOR RS.399, BUT IT IS A PRODUCT FOR RS 250. SO DON'T BUY ITS PRICE IS MORE THAN RS250.
"
766,"
Nice bag
"
767,"
Nice bag at that low price. G0 for it.
"
768,"
Quality of bag is very good.
"
769,"
The material quality of this product is genuinely commendable. From the exterior to the internal components, there's a tangible sense of durability and craftsmanship. The choice of materials not only contributes to a sleek and modern design but also suggests longevity.The space allocation in this product is simply impressive. Every nook and cranny seems to be utilized efficiently, providing ample room for storage or usage.  The thoughtful organization of space adds to the product's overall user-friendliness.
"
770,"
As shown in the picture. Good quality.
"
771,"
Very good item against cost
"
772,"
Very good product
"
773,"
Very Poor stitching. The bag in the picture is just 1 month old. Not at all worth the price paid.
"
774,"
Has many compartments. Bag is quite big and can hold many books. There is a place to keep laptop also. Overall satisfactory.
"
775,"
Size is small for school books
"
776,"
Big and very tough cloth....need to see how long it would hold well for the students
"
777,"
Super bag
"
778,"
Good
"
779,"
The material quality of this product is genuinely commendable. From the exterior to the internal components, there's a tangible sense of durability and craftsmanship. The choice of materials not only contributes to a sleek and modern design but also suggests longevity.The space allocation in this product is simply impressive. Every nook and cranny seems to be utilized efficiently, providing ample room for storage or usage.  The thoughtful organization of space adds to the product's overall user-friendliness.
"
780,"
As shown in the picture. Good quality.
"
781,"
Very good item against cost
"
782,"
Very good product
"
783,"
Very Poor stitching. The bag in the picture is just 1 month old. Not at all worth the price paid.
"
784,"
Has many compartments. Bag is quite big and can hold many books. There is a place to keep laptop also. Overall satisfactory.
"
785,"
Size is small for school books
"
786,"
Big and very tough cloth....need to see how long it would hold well for the students
"
787,"
Super bag
"
788,"
Good
"
789,"
Can be used for school and journey luggage
"
790,"
Not praiseworthy
"
791,"
I like this bag... Very good for school, college and lugguage purpose also
"
792,"
Good one thanks
"
793,"
Size suit my daughters class books as well as snaks and water bottle.
"
794,"




                    The media could not be loaded.
                



Very very good produc
"
795,"
****
"
796,"
Good
"
797,"
Bag has good space.it has multiple pockets to serve different purposes.its appearance is good and comfortable to use.
"
798,"
बैग का क्वालिटी अच्छा है पर बैग के मुकाबले प्राइज महंगा है
"
799,"
Fabric is not good
"
800,"
Wider in size with many a pockets and nice from outside but inside divider, materials are too weak,
"
801,"
Good bag but doesn't have a rain cover.Otherwise very Good.
"
802,"
Phone hoding and laptop hold space and some more area for charger and more
"
803,"
Best my choice best kit And good quality nice luck
"
804,"
Quality  not good
"
805,"
Good quality light weight nice to use
"
806,"
Very good product.
"
807,"
Amezon is... good brand and i support to all purchases.
"
808,"
For a school bag it's okay but not that great for official use
"
809,"
Good space
"
810,"
Nice but stiching not proper
"
811,"
Good
"
812,"
Nice stitching, vibrant colour my children liked the bag
"
813,"
It’s superb ! Waterproof, durable , too spacious and with multiple compartments. 100% rating
"
814,"
Very good, fine finish, proper size and material. The zip buckle is bit thin. Hope it wont get damaged soon. We are happy.
"
815,"
Very nice product. It's sturdy. Good at this price.
"
816,"
We are Satisfied about the Bag.
"
817,"
Quite large and decent quality
"
818,"
Super quality and spacious
"
819,"
Super quality
"
820,"
There is nothing bad but it does feel smaller than expected
"
821,"
Worth for money.. Nice product
"
822,"
Good product
"
823,"
Spacious, very nice
"
824,"
Good & cheap.
"
825,"
Good quality 👍
"
826,"
Best MaterialPerfect StitchesBest Zippers
"
827,"
Good
"
828,"
GOOD
"
829,"
Best quality for this price.
"
830,"
Lowest price but good material.
"
831,"
Good
"
832,"
Basically purchased for a school bag use. The many and roomy compartments make this an ideal choice to sort out books, projects files and snack box. It's got a nice wide & deep water bottle holders. Stitching and zippers are fine as well. Handle strap and shoulder straps have got double stitching. I am happy about this product and feel it is worth the money.
"
833,
834,"
Value for money 💰
"
835,"
Good quality.
"
836,"
No complains
"
837,"
Value for money
"
838,"
Very good quality and nice looking.... Comfortable for my kid...
"
839,"
I bought this for my daughter....it is of very good quality and highly durable
"
840,"
It's a very nice hard cotton school bag with so many pockets. The quality is top notch whether we talk about inside space, bottle space with bottom grip, back and shoulder support foam, handle grip, chain quality. Worth buy at this price point with thinking twice.
"
841,"
Good
"
842,"
I like ,for my daughter
"
843,"
Quality is fine
"
844,"
Value for money.. must have product
"
845,"
Worth for money..Good quality and more space
"
846,"
Excellent. Quality good, large space
"
847,"
Very nice product.
"
848,"
Value for money
"
849,"
Good
"
850,"
Strong & Stylish Bag For Students upto +2
"
851,"
Excellent product
"
852,"
stitching already open at a spot when received, and poor finish at another place
"
853,"
Good size bag for school.. lots of compartments
"
854,"
The quality is worst. After use for 3 months, it got tear from handle side. Need refund or replacement.
"
855,"
value for money
"
856,"
Not worth buying
"
857,"
My son like this school bag ver much. Received more than which I expected. Excellent school bag with more separate columns to arrange the books. Bought it @ 697/- freeshipping 👍
"
858,"
User friendly and good quality. Zippers are super smooth. Material of the bag is also good. Overall a bag worth buying.
"
859,"
Good quality at this price..Excellent space in bag & all compartments are well designed. 👌
"
860,"
Nice product
"
861,"
The zip is not strong enough to carry the load of books when full.Zip came apart on just 2 uses
"
862,"
Quality not good not same quality showing in photo 😔
"
863,"
The material used are heavy and durable. Stitching quality is also good. Design is also good. Thanks manufacturing company
"
864,"




                    The media could not be loaded.
                



Very good quality and give the Amazon very thank you
"
865,"
Bag is same as displayed in the product image
"
866,"
Strong bag
"
867,"
Good Quality
"
868,"
I like the one
"
869,"
Good give you 5 Star ✨
"
870,"
Nice very good quality go for it 👍
"
871,"
It's a Jumbo bag in this price segment.Good one...
"
872,"
👌
"
873,"
Good quality and spacious
"
874,"
Very very nice
"
875,"
Dislike
"
876,"
I purchased this product .i liked it very much because it have a huge space for kids books and light in weight
"
877,"
Nice product
"
878,"
Good quality
"
879,"
Very nice bag with good quality
"
880,"
I like this product I as it's quality is great. My kid takes it to the school and I think it is really spacious and has an attractive colour.
"
881,"
As it is not good for school but good for college and travelling this much only otherwise it is very nice product u should go through with it
"
882,"
It is to good it comfortable and big also for school it is best.
"
883,"
Size of the product is very small 😞
"
884,"
Bad product
"
885,"
I received this bag and was awesome in looks and was made from best quality material !!!!
"
886,"
The bag as a whole is great, the pink color looks bright and is overall sturdy! But the stitch is not something I'm excited about! It is somewhat coming out from small places.
"
887,"
Good colure
"
888,"
Value for money 💰
"
889,"
Very nice bag with good quality
"
890,"
I like this product I as it's quality is great. My kid takes it to the school and I think it is really spacious and has an attractive colour.
"
891,"
As it is not good for school but good for college and travelling this much only otherwise it is very nice product u should go through with it
"
892,"
It is to good it comfortable and big also for school it is best.
"
893,"
Size of the product is very small 😞
"
894,"
Bad product
"
895,"
I received this bag and was awesome in looks and was made from best quality material !!!!
"
896,"
The bag as a whole is great, the pink color looks bright and is overall sturdy! But the stitch is not something I'm excited about! It is somewhat coming out from small places.
"
897,"
Good colure
"
898,"
Value for money 💰
"
899,"
Buying this for 2nd time so cool product
"
900,"
बहुत ही अच्छा product है। और जैसा मैंने order करा था बिल्कुल वैसा ही product आया है amazon से।कहीं से भी कुछ Defect नहीं हैऔर मुझे बहुत अच्छा लगा है यह मेरा4th ya 5th time  है जब मैंने amazon से कुछ मंगाया है और वह एग्जैक्ट वैसा ही आया है। मुझे बहुत अच्छा लगा है।
"
901,"
Received what I ve seen in the picture.. my son just loved it..
"
902,"
Color is being faint after sometime..I am writing this review after a year use
"
903,"
Very Nice
"
904,"
The item shown was delivered with same color and material...Bag has a good texture and is medium sized...Happy to share that it had a one yr warranty...
"
905,"
I don't have any issue regarding this. I have bought it at Rs.691.
"
906,"
It's very small and the color was fade .
"
907,"
I got a bag and it is superb.Quality is also awesome.
"
908,"
But price increase sometimes and after buying showing decrease you should buy another platform 730 but I'm buying Amazon 830
"
909,"
Worth the purchase. Quality as expected 👏
"
910,"
I got this for 691 very nice bag colour is very very good attractive next level bag you won't regret
"
911,
912,"
Colour of the bag is nice but size is small so I return it.
"
913,"
Good product
"
914,"
Very handy
"
915,"
Excellent.very nice bags
"
916,"
Okay type
"
917,"
Quality is good but this is first copy product. There is no original tag inside the bag.
"
918,"
This bag is so beautiful 😍 I like it 🤩
"
919,"
It's good looking bag and compact bag but don't have many compartment for storage and don't have any small pocket rain cover and pouch
"
920,"
I'm happy
"
921,"
Bag is good but size is small
"
922,"
The colour and quality of tu bag is very good and the cost is reasonable from Amazon
"
923,"
Should have one more pocket...but that's fine ...it's good
"
924,"
Light weight, but small size, u can buy, good product
"
925,"
Quality is poor, you can't keep ur lapy in this bag.
"
926,"
Fully likely
"
927,"
Product quality and material is good
"
928,"
Good
"
929,"




                    The media could not be loaded.
                



The school bag not send same this bag quality are low
"
930,"
It's a small storage bag useful for college purpose and not good for high storage and the quality is good and the colour is really amazing and the height is medium
"
931,"
❤️
"
932,"
Excellent quality
"
933,"
ok
"
934,"




                    The media could not be loaded.
                



Like
"
935,"
Good for utilise
"
936,"




                    The media could not be loaded.
                



Need one more, why unavailable??Got it in great price during sale with latest manufacturing date..
"
937,"
Good product
"
938,"
So wonderful 😊
"
939,"
Osam
"
940,"
Too good
"
941,
942,"
Best quality and value for money. Really good product for school kids. Lite weight with good quality and also stylish.
"
943,"
Its over 1 year since I bought this bag and it tore on the inside.I too was excited when I bought it as it looked like gud quality but now it is completly ruined.
"
944,"
Fantabulous mind blowing...swag look!
"
945,"
Good product
"
946,"
Very nice 👍
"
947,"
Can be used for both traveller and students. 15inch laptop easily fit but as from bottom laptop is not secured bcz of very thin material & no cushion provided at bottom in laptop section though the material of backpack is sturdy. Spacious enough for 2-3 days travel for any gender but can't be protected against heavy rainfall. Have to buy rain cover separately. Neither Colour nor design fades easily. I'm using it for 3 yrs & washed it too with soft liquid detergent (ezee). Won't advice to keep lunch box without any protection in the backpack. In case of spillage the design between the 2 at the bottom of 2 section from inside have 2 opening like hole to provide strength for the backpack which will easily let the spillage to reach other section too. Rain cover must be of above 35lit. Below it will let the rain cover to slip from the backpack.Edit: one of the shoulder strap was about to tear of still for 6 month it didn't came out totally so i sent it to repair. My bag was collected from one of the Wildcraft outlet and sent to Bangalore. After keeping it for a month i received a reply that it couldn't be repaired as the fabric isn't available for this production of bag. Instead they are providing me voucher equivalent to my bag's original price. But if u want to receive ur bag as it is then u have to give up voucher. It's due to audit system. It's logical but it's harsh too as i bought this bag with whole heart and now I'm given a choice.😢
"
948,"
Stitching is good .Space is sufficient as shown .I used it for 10 months .no zip damage .The print is long lasting .The handles have thick cushions.Mesh behind the bag front side causing less pain on the back.the hanging length is adjustable like any other bag .2 hangers to hang to any type of hook sizes .You can carry the bag with one hand as seen in pic.Not a waterproof but splashes can be resisted.buy bag cover for travel needs.
"
949,"
Design, weight and comfort bag. Good quality.
"
950,
951,"
Not that good compare to cost
"
952,"
I loved it. Have been using it regularly.
"
953,"
Overall quality is good. I suggest to improve quality in strich.
"
954,"
Good
"
955,"
Good product
"
956,"
Very nice 👍
"
957,"
Can be used for both traveller and students. 15inch laptop easily fit but as from bottom laptop is not secured bcz of very thin material & no cushion provided at bottom in laptop section though the material of backpack is sturdy. Spacious enough for 2-3 days travel for any gender but can't be protected against heavy rainfall. Have to buy rain cover separately. Neither Colour nor design fades easily. I'm using it for 3 yrs & washed it too with soft liquid detergent (ezee). Won't advice to keep lunch box without any protection in the backpack. In case of spillage the design between the 2 at the bottom of 2 section from inside have 2 opening like hole to provide strength for the backpack which will easily let the spillage to reach other section too. Rain cover must be of above 35lit. Below it will let the rain cover to slip from the backpack.Edit: one of the shoulder strap was about to tear of still for 6 month it didn't came out totally so i sent it to repair. My bag was collected from one of the Wildcraft outlet and sent to Bangalore. After keeping it for a month i received a reply that it couldn't be repaired as the fabric isn't available for this production of bag. Instead they are providing me voucher equivalent to my bag's original price. But if u want to receive ur bag as it is then u have to give up voucher. It's due to audit system. It's logical but it's harsh too as i bought this bag with whole heart and now I'm given a choice.😢
"
958,"
Stitching is good .Space is sufficient as shown .I used it for 10 months .no zip damage .The print is long lasting .The handles have thick cushions.Mesh behind the bag front side causing less pain on the back.the hanging length is adjustable like any other bag .2 hangers to hang to any type of hook sizes .You can carry the bag with one hand as seen in pic.Not a waterproof but splashes can be resisted.buy bag cover for travel needs.
"
959,"
Design, weight and comfort bag. Good quality.
"
960,
961,"
Not that good compare to cost
"
962,"
I loved it. Have been using it regularly.
"
963,"
Overall quality is good. I suggest to improve quality in strich.
"
964,"
Good
"
965,"
Good
"
966,"
Ok quality
"
967,"
nice
"
968,"
Good Product from wildcraft, but sizewise its small when compared to the image in Online.
"
969,"
Met my expectations of a Wildcraft bag. A bit overpriced but the quality is good.
"
970,"
The quality of the bag is superb... My son liked it very much
"
971,"
I love this bag. Purchased 2nd time
"
972,"
Size and space are sufficient can fit multiple things
"
973,"
been my goto since my childhood my old one lasted a mere 17 years and still has some life in it but it looks very worn outthis one survived harsh rain an accident and looks brand new what material science wizardry Wildcraft has iam not sure. keep it rocking Wildcraft.
"
974,"
The size of the bag is too small and no value for money
"
975,"




                    The media could not be loaded.
                



I like it and I use it in daily office routine.
"
976,"
Once fully packed isn't comfortable carryng on one shoulder.
"
977,"
nice
"
978,"
Good product
"
979,"
Its good looking and quality is awesome and colour combination is dignified and the most happiest thing is that it has 5years of warranty
"
980,"
It has great quality and very comfortable ,nice product.
"
981,"
Bag has too big bottle holder has no adjuster to tight the bottle , so my bottle drops oftenly when i travel
"
982,"
Big size and comfort to carry.
"
983,"
this bad almost cost 2k but feels kinda cheap when compared with my cheaper bags. Overall a cool looking bag. Must buy if you love wolfs
"
984,"
Comfort and Quality
"
985,"
It's a fake Wildcraft product. When you try to scan the QR code provided to avail warranty, it won't work.
"
986,"
Material is very soft. Zipper is struck at corners.
"
987,"
The bag is very spacious. Material is light weight, water proof and durable. Design is classy. No fading of colours from constant use.I have been using it on regular basis for my work purpose for the last two months And I am quite satisfied with it except for the water bottle compartment. Even a 1 L bottle doesn’t fit well in it, Cause if you bend down like - to tie your shoes or pick up something that you have dropped from the ground - with the bag on and a bottle in the water bottle compartment, it is sure to fall.
"
988,"
Nice i like it but space is less
"
989,"
Bag was great . It’s genuine product.  I bought it at 1500.  I have seen most of the time during special days like festival or sales the price will be around 1000rs .
"
990,"
A good backpack. How far this bag is water resistant we haven't verified.
"
991,"
Quality is decent but a bit small for the price.
"
992,"
Superb Quality And Very Comfortable ...
"
993,"
Perfect for college students
"
994,"
Bag is good... Amazing water resistanceBut inside the quality is not that good it...within few days it tore from inside... Now there's a hole in thereApart from that it dries up very quick good design.. Super cool for high school and college
"
995,"
It is water prooofWoW
"
996,"
I like this product. Amazing look and nice fabric with good space
"
997,"
Wild wild craft...crafted wildely...made me go a bit wild :-D Was disappointed with this bag. But then it was a bad choice from my side I guess. That is what one would get from Wildcraft for that price. And this was not a laptop bag which the description said. The tag on the bag said  ""School Bag"" Well, I always loved Wildcraft and I went ahead and bought a more upmarket model and am in love with it :-)
"
998,"
I use this bag for college and it’s been working pretty good so far. Only problem is it ain’t got any extra compartments to keep extra stuff like earphones or pens. Overall build quality is good
"
999,"
Had bought the blue color bag for my older son and seeing convenience and quality made me order the black one for my younger son.3 compartments and multiple other pockets makes it very easy to organize items in the bags.Very light weight, big size which can accommodate text books, notebooks, lunch and snack boxes of a 6th and 10th standard child very easily. Water repellent material means no more seepage of water and having to carry the books inside a plastic cover.
"
1000,"
Very small in size pls without physical verify do not buy.
"
1001,"
Quality of zip is pathetic and it malfunctions
"
1002,"
Nice bag has some nice compartments the eyes are bright .overall a nice bag
"
1003,"
This product is very nice... It's really a worthy commodity for money... Wild craft is giving 5 year assurance guarantee on this product... I am really satisfied with this bag.. Thank you Amazon and Wild craft...
"
1004,"
On some reviews, it was mentioned as water resistant but after using it in first rain fall, it proved that documents in all 3 compartments get wet which made me know that it is not at all water resistant. Not expected it for Wildcraft product. When we buy it as laptop bag then it is expected to be well enought to protect the laptop from water but it is total failure. Very much disappointed with the quality. Felt deceived in name of brand. I will not recommend it to buy at 2k cost.
"
1005,"
Bag quality is good and light weight but in big size chain not close properly at my end some time it is create problem.I will recommend this, you can buy this product.
"
1006,"
Product is ok, I expected bigger size as it is 40ltr capacity but it is normal laptop bag
"
1007,"
Good
"
1008,"
The product is really very good
"
1009,"
Lots of compartments, bottle holder,  good material and design. My teenager chose it and is pleased with it
"
1010,"
A good quality and durable bag.
"
1011,"
agar aap out city travel kar rahe hei bag ke sath to ye suitable nahi ye bahut hi slim material ka bana hei ye sayad hi jyada time tak chale isko use karke fir hi bata paunga kaisa chal raha heiOverall is price mei acha bag heiIsi brand ka high price lene mei jyada fayeda hei laptop ke liye
"
1012,"
Extremely lightweight...I repeat extremely lightweight and small looking yet carries a lot of things in it.. not entirely waterproof, sometimes when it's raining my documents in 1st chain gets a little wet, not entirely.
"
1013,"
COMFORTABLE, STYLISH,BIG STORAGE
"
1014,"
Design- 8Material of bag - Thin (Need to check durability)Light weight- 10Shoulder paddings- 8Bottom padding- 0Water resistant- Look like water repellent Material (but Need to check)Zips are good - 8ConsNo Bottom padding(If you want light weight bag with good design and good number of compartment & pocket  but okay with no bottom padding or willing to use manual bottom padding. Then this one is for you)
"
1015,"
NICE PRODUCT
"
1016,"




                    The media could not be loaded.
                



I recently purchased a laptop bag from Amazon, and I am extremely disappointed with the poor quality. The bag features a fake brand logo, and the overall construction is subpar. The materials used are flimsy, and the stitching is uneven. The zippers are prone to jamming, making it a frustrating experience. I strongly advise against purchasing this product, as it does not meet the advertised quality.I recommend don't purchase from this seller.
"
1017,"
Good product spacious highly recommend it
"
1018,"
Nice 3 year completed
"
1019,"
First, To the many people who confused with the product genuine, this product is genuine. I have registered in wildcraft website also.Pros: spacious, fit for 17 inch laptop alsoCons: the bag material is too thin. I have been using wildcraft bags for long. I never seen this thin sheets.I will update the durability after using for some months.
"
1020,"
I have some damage pice
"
1021,"
First of all the wolf printed on it looks aggressive and awesome,quality avg but bag looks superb
"
1022,"
Quality is decent and it is spacious. Only problem is,  it doesn't have any valcro or zip for laptop sleeve and it is not cushioned also. There is large empty space after putting 15.6 inch laptop and it shakes the PC whenever you shake the bag.
"
1023,"
It’s nice and has compartments to put things it is light weight. It also looks good. But it would be good if it has more compartments.
"
1024,"
The biggest flaw of this bag is that it does not have even a slight bit of bottom padding. Don't buy if you wish to keep laptop or glass tiffin box in it. It's gonna break or get damage one day or the other.Otherwise you can use it, its quite spacious.
"
1025,"
The quality of the bag is excellent and received the same product as I ordered
"
1026,"
It's a great bag, but there is one problem. The material of the bag is not so much good and there no support for long bottles as other bags have.
"
1027,"
A one year honest review from a high school student is that its a great bag but the wolf is worn out after a year and a little bit of holes can be seen...
"
1028,"




                    The media could not be loaded.
                



It's look like very nice 🥰
"
1029,"
Writing this review after 3months of usage. Zip is of very bad quality. Wildcraft has reduced it's QUALITY and it's not waterproof/waterresistance. So don't waste your money on it.
"
1030,"
Look and feel wise bag is good. I chose the nylon one since it is supposed to be stronger. Looks like it will last.Am taking away 1 star because the bag is not as big as expected. It cannot hold a 17 inch laptop. The bag narrows towards the top,  that is possibly the reason. Need more volume statistics on the bags to buy the correct ones.
"
1031,"
This Bag can be used as a school bag. Not much big as I expected (44 liters). Quality is average but warranty is for 5 years (not expecting 5 year life).Don't have any cushion/pad protection for laptop, that's the main drawback.The handle (to hold a a suite case) is not good and is not cushioned.Overall I am not happy but just ok
"
1032,"
The bag is really spacious.I find it really fits all my needs.The bag is real light-weight.
"
1033,"
No
"
1034,
1035,"
I have been usung it for 3 months now.It has some signs of wear and tear but its fine. Doesn't get dirty very quickly and is very lightweight,Is very durable and has a lot of durability.It would be strongly recommend for school students for all classes unless they play bag fights and drag the bag all over stone. Has accessories pouch and is ok water proof for a water bottle fight but isn't tested in heavy showers.Design is fabulous and very cool and awesome. Overall The Bag Is a LEGEND and the best bag for a budget
"
1036,"
Bag is spacious with good capacity but no good cushioning to protect the stuff from damage.
"
1037,"
It's wonderful 😊
"
1038,"
I used it as a school bag
"
1039,"
Large enough for 8th class student. Light weight and water resistance. Nice experience
"
1040,"
I really loved this product . The colour is same as shown.Very light weight...I ordered it to my daughter and she loved it very much..thank you amazon...🥰🥰
"
1041,"
Everything is really good about the bag except the size issue I expected it to be little more big because of my reference in the Amazon site's Picture
"
1042,"
water seeps in during rain. Compartment are not fully seperated so small object go pass from above chain to lower area through the gap.The graffiti black paint get removed very easily being wet and sunlight
"
1043,"
It has total 3 compartments out of which 2 are large you can easily carry a 15.6 inch laptop with 2 pairs of clothes easily. Look is decent wolf looks good and zips are good as well.It is good for 2-3 day trip in winter. The product is good but price is an issue.
"
1044,"
Very nice looks Wolf  design printed on Wildcraft bag (Black & Grey colour combination) as expected and shown in description. Light weight and latest design and good material used and stitched properly every corner of backpack. Comfortable in travelling, Also value for money. No second thoughts, Pleasele go ahead without hesitation and own It. Thanks Amazon Team for prompt and early delivery. ♥️👍👌
"
1045,"
Backpack is same as I expected and I am satisfied with it.
"
1046,"
Overall product is nice. It's super light and looks good only thing which i don't like is very very thin layer seperating the compartments, which actually helped it in weigh reduction. Rest fine.
"
1047,"
Real wildcraft and quality is very good good for all purposes
"
1048,"
Writing this after using it for couple of months now. I am happy with the product. It’s light and could carry enough things.
"
1049,"
Bag seems ok. Can't tell about durability now. As I have just started using it. Will review after fee days. Chain get stuck sometimes. So not sure how long will it last. Can go for American tourist. Fabric and chain quality is. Far better in them as compared to wiki.
"
1050,"
Its good but little damaged everytime
"
1051,"
Average
"
1052,"
Good bag
"
1053,"
Super spacious product for school and travelling
"
1054,"
Nice
"
1055,"
Looks amazing. Excellent, elegant design in a really stylish color (I got the wine red one, will post pictures later). In fact, it looks so good I've already ordered another one in the green color.Yet to test its durability, but right now I'm satisfied with the overall build quality, weight, stitching, material, and internal space. Will update in case I run into any issues.
"
1056,"
The American Tourister 32L backpack is a reliable and practical choice for travelers and daily commuters alike. Here's why:Ample Capacity: With a spacious 32-liter capacity, this backpack offers plenty of room to carry all your essentials, making it ideal for short trips or daily use.Durable Construction: Crafted from high-quality materials, including sturdy zippers and reinforced stitching, this backpack is built to withstand the rigors of daily use and travel.Comfortable Design: Padded shoulder straps and a cushioned back panel provide comfort during extended wear, reducing strain on your shoulders and back.Organizational Features: Multiple compartments, including a dedicated laptop sleeve and organizer pockets, help keep your belongings organized and easily accessible.Stylish Aesthetic: The sleek design and modern aesthetic of the American Tourister backpack make it a fashionable accessory for any outfit or occasion.Value for Money: Offering durability, comfort, and ample storage space at an affordable price point, this backpack provides excellent value for money.
"
1057,"
Good for daily use
"
1058,"
Product is not good, not having the standards of American tourister, and there is no laptop pouch.
"
1059,"
Quality is very good, also provide water proofing, overall good bag for school and college students
"
1060,"
The product's price is good and with a good label of a company
"
1061,"
Quality is good but no laptop storage.
"
1062,"
Nice quality and very spacious, but side mesh are of low quality
"
1063,"
Perfect
"
1064,"
Thanks amazon. Loved it higly spacious and good quality
"
1065,"
Looks amazing. Excellent, elegant design in a really stylish color (I got the wine red one, will post pictures later). In fact, it looks so good I've already ordered another one in the green color.Yet to test its durability, but right now I'm satisfied with the overall build quality, weight, stitching, material, and internal space. Will update in case I run into any issues.
"
1066,"
The American Tourister 32L backpack is a reliable and practical choice for travelers and daily commuters alike. Here's why:Ample Capacity: With a spacious 32-liter capacity, this backpack offers plenty of room to carry all your essentials, making it ideal for short trips or daily use.Durable Construction: Crafted from high-quality materials, including sturdy zippers and reinforced stitching, this backpack is built to withstand the rigors of daily use and travel.Comfortable Design: Padded shoulder straps and a cushioned back panel provide comfort during extended wear, reducing strain on your shoulders and back.Organizational Features: Multiple compartments, including a dedicated laptop sleeve and organizer pockets, help keep your belongings organized and easily accessible.Stylish Aesthetic: The sleek design and modern aesthetic of the American Tourister backpack make it a fashionable accessory for any outfit or occasion.Value for Money: Offering durability, comfort, and ample storage space at an affordable price point, this backpack provides excellent value for money.
"
1067,"
Good for daily use
"
1068,"
Product is not good, not having the standards of American tourister, and there is no laptop pouch.
"
1069,"
Quality is very good, also provide water proofing, overall good bag for school and college students
"
1070,"
The product's price is good and with a good label of a company
"
1071,"
Quality is good but no laptop storage.
"
1072,"
Nice quality and very spacious, but side mesh are of low quality
"
1073,"
Perfect
"
